cntyvtd,total_votes,dem_votes,rep_votes
4690014,427,103,317
4690015,46,6,40
4690016,154,30,121
4690017,146,35,107
4690018,1190,179,982
4690019,751,213,515
4690020,535,91,438
4690021,1422,241,1153
4690022,709,68,625
4690023,565,78,469
4690024,582,71,503
4690025,1155,269,863
4690026,352,63,282
4690027,526,36,480
4690028,172,21,145
4690029,1153,210,906
4690030,189,60,125
4690031,209,77,127
4690032,243,111,125
4690033,1904,300,1556
4690034,191,133,54
4690035,71,43,26
4810101A,336,100,233
4810101B,447,132,300
4810102,953,145,792
4810103,637,124,492
4810201,1176,144,996
4810202,248,160,84
4810203,791,427,347
4810301,935,83,847
4810302,770,95,664
4810303,752,59,678
4810401,615,234,372
4810402,376,73,295
4810403,208,61,142
550102,355,92,247
550104,247,76,161
550110,58,19,36
550111,439,188,237
550112,0,0,0
550113,0,0,0
550117,0,0,0
550201,421,142,267
550202,489,134,343
550203,438,124,297
550204,555,119,400
550205,148,35,108
550206,327,111,206
550305,167,57,105
550306,100,38,60
550307,0,0,0
550404,496,238,231
550405,449,176,249
550410,0,0,0
570001,69,44,19
570002,205,107,89
570003,14,10,3
570004,146,64,77
570005,82,19,63
570006,157,38,109
570007,169,88,76
570008,100,50,44
570009,17,10,5
570010,56,21,34
570011,125,36,86
570012,515,148,354
570013,6,0,6
570014,67,31,35
570015,59,25,32
570016,348,95,241
570017,308,102,200
570018,132,43,83
570019,216,37,177
570020,21,11,10
570021,50,8,39
570022,141,32,109
570023,90,16,71
570024,518,129,367
570025,448,53,388
70001,698,165,519
70002,1036,353,648
70003,1827,391,1389
70004,1525,321,1161
7001A,388,92,283
7004A,474,83,376
