GEOid2,GEOdisplaylabel,total_over_18_pop,hispanic_over_18_pop
48029121117,"Census Tract 1211.17, Bexar County, Texas",3581,1191
48029121118,"Census Tract 1211.18, Bexar County, Texas",4439,1342
48029121119,"Census Tract 1211.19, Bexar County, Texas",4051,1477
48029121120,"Census Tract 1211.20, Bexar County, Texas",3803,1453
48029121121,"Census Tract 1211.21, Bexar County, Texas",2241,508
48029121122,"Census Tract 1211.22, Bexar County, Texas",4187,1308
48029121203,"Census Tract 1212.03, Bexar County, Texas",2988,1584
48029121204,"Census Tract 1212.04, Bexar County, Texas",6146,2204
48029121205,"Census Tract 1212.05, Bexar County, Texas",2485,1192
48029121206,"Census Tract 1212.06, Bexar County, Texas",5461,2476
48029121300,"Census Tract 1213, Bexar County, Texas",4782,1381
48029121402,"Census Tract 1214.02, Bexar County, Texas",3597,2110
48029121403,"Census Tract 1214.03, Bexar County, Texas",3674,1422
48029121404,"Census Tract 1214.04, Bexar County, Texas",3392,1699
48029121501,"Census Tract 1215.01, Bexar County, Texas",5797,1833
48029121504,"Census Tract 1215.04, Bexar County, Texas",5375,1757
48029121505,"Census Tract 1215.05, Bexar County, Texas",3370,1151
48029121506,"Census Tract 1215.06, Bexar County, Texas",4195,1685
48029121507,"Census Tract 1215.07, Bexar County, Texas",3801,1326
48029121508,"Census Tract 1215.08, Bexar County, Texas",3400,1424
48029121601,"Census Tract 1216.01, Bexar County, Texas",3616,1289
48029121604,"Census Tract 1216.04, Bexar County, Texas",5141,1586
48029121605,"Census Tract 1216.05, Bexar County, Texas",1450,422
48029121606,"Census Tract 1216.06, Bexar County, Texas",3846,1198
48029121701,"Census Tract 1217.01, Bexar County, Texas",2992,811
48029121702,"Census Tract 1217.02, Bexar County, Texas",5286,1293
48029121802,"Census Tract 1218.02, Bexar County, Texas",5747,2459
48029121803,"Census Tract 1218.03, Bexar County, Texas",3267,1430
48029121804,"Census Tract 1218.04, Bexar County, Texas",4463,1852
48029121808,"Census Tract 1218.08, Bexar County, Texas",2420,945
48029121809,"Census Tract 1218.09, Bexar County, Texas",3711,1335
48029121810,"Census Tract 1218.10, Bexar County, Texas",3081,1123
48029121811,"Census Tract 1218.11, Bexar County, Texas",2991,1112
48029121812,"Census Tract 1218.12, Bexar County, Texas",4275,1565
48029121813,"Census Tract 1218.13, Bexar County, Texas",1219,384
48029121903,"Census Tract 1219.03, Bexar County, Texas",3591,758
48029121904,"Census Tract 1219.04, Bexar County, Texas",2323,550
48029121905,"Census Tract 1219.05, Bexar County, Texas",3917,1057
48029121906,"Census Tract 1219.06, Bexar County, Texas",4134,1201
48029121907,"Census Tract 1219.07, Bexar County, Texas",6292,1983
48029121908,"Census Tract 1219.08, Bexar County, Texas",1747,343
48029121909,"Census Tract 1219.09, Bexar County, Texas",3302,1262
48029121910,"Census Tract 1219.10, Bexar County, Texas",3280,1008
48029130200,"Census Tract 1302, Bexar County, Texas",1188,811
48029130300,"Census Tract 1303, Bexar County, Texas",2226,1739
48029130401,"Census Tract 1304.01, Bexar County, Texas",2822,2212
