GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48027020702,48027020702,"Census Tract 207.02, Bell County, Texas",1931,389,964,266,967,311
1400000US48027020800,48027020800,"Census Tract 208, Bell County, Texas",3001,611,2211,563,790,383
1400000US48027020900,48027020900,"Census Tract 209, Bell County, Texas",1899,400,1364,299,535,290
1400000US48027021000,48027021000,"Census Tract 210, Bell County, Texas",4226,652,2738,563,1488,397
1400000US48027021100,48027021100,"Census Tract 211, Bell County, Texas",5687,837,4464,745,1223,478
1400000US48027021201,48027021201,"Census Tract 212.01, Bell County, Texas",2965,532,2385,485,580,204
1400000US48027021202,48027021202,"Census Tract 212.02, Bell County, Texas",4504,504,3574,369,930,337
1400000US48027021203,48027021203,"Census Tract 212.03, Bell County, Texas",4267,393,3704,392,563,129
1400000US48027021301,48027021301,"Census Tract 213.01, Bell County, Texas",5763,612,4545,440,1218,494
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",2963,320,2874,306,89,59
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",5636,673,4281,628,1355,371
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3612,359,3067,350,545,241
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",5239,667,3575,552,1664,390
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5859,1029,3944,713,1915,601
1400000US48027021602,48027021602,"Census Tract 216.02, Bell County, Texas",2839,499,2473,487,366,149
1400000US48027021700,48027021700,"Census Tract 217, Bell County, Texas",6578,653,5996,665,582,254
1400000US48027021800,48027021800,"Census Tract 218, Bell County, Texas",6550,548,5069,432,1481,527
1400000US48027021901,48027021901,"Census Tract 219.01, Bell County, Texas",3315,349,2815,338,500,158
1400000US48027021903,48027021903,"Census Tract 219.03, Bell County, Texas",8498,735,7294,663,1204,394
1400000US48027021904,48027021904,"Census Tract 219.04, Bell County, Texas",7943,746,6523,712,1420,567
1400000US48027022000,48027022000,"Census Tract 220, Bell County, Texas",8306,860,6777,854,1529,379
1400000US48027022101,48027022101,"Census Tract 221.01, Bell County, Texas",3930,376,3374,360,556,225
1400000US48027022103,48027022103,"Census Tract 221.03, Bell County, Texas",5590,475,4423,496,1167,353
1400000US48027022104,48027022104,"Census Tract 221.04, Bell County, Texas",4320,463,3387,461,933,335
1400000US48027022105,48027022105,"Census Tract 221.05, Bell County, Texas",1844,274,1430,246,414,223
1400000US48027022200,48027022200,"Census Tract 222, Bell County, Texas",3365,448,2497,402,868,312
1400000US48027022300,48027022300,"Census Tract 223, Bell County, Texas",3751,552,2985,438,766,325
1400000US48027022401,48027022401,"Census Tract 224.01, Bell County, Texas",5169,685,3811,594,1358,323
1400000US48027022402,48027022402,"Census Tract 224.02, Bell County, Texas",1648,294,921,327,727,215
1400000US48027022403,48027022403,"Census Tract 224.03, Bell County, Texas",4138,553,3589,580,549,268
1400000US48027022404,48027022404,"Census Tract 224.04, Bell County, Texas",6966,671,5064,597,1902,551
1400000US48027022405,48027022405,"Census Tract 224.05, Bell County, Texas",1824,520,994,291,830,572
1400000US48027022501,48027022501,"Census Tract 225.01, Bell County, Texas",4233,490,2740,494,1493,541
1400000US48027022502,48027022502,"Census Tract 225.02, Bell County, Texas",8478,748,6707,724,1771,559
1400000US48027022600,48027022600,"Census Tract 226, Bell County, Texas",4990,678,3436,525,1554,543
1400000US48027022801,48027022801,"Census Tract 228.01, Bell County, Texas",2874,459,2148,443,726,350
1400000US48027022900,48027022900,"Census Tract 229, Bell County, Texas",3574,469,2845,405,729,252
1400000US48027023000,48027023000,"Census Tract 230, Bell County, Texas",5579,583,4212,470,1367,528
1400000US48027023103,48027023103,"Census Tract 231.03, Bell County, Texas",4296,393,3561,407,735,250
1400000US48027023104,48027023104,"Census Tract 231.04, Bell County, Texas",3895,590,3068,465,827,392
1400000US48027023105,48027023105,"Census Tract 231.05, Bell County, Texas",4625,752,3952,682,673,357
1400000US48027023106,48027023106,"Census Tract 231.06, Bell County, Texas",8869,829,6882,840,1987,545
1400000US48027023107,48027023107,"Census Tract 231.07, Bell County, Texas",7267,742,5668,852,1599,505
1400000US48027023108,48027023108,"Census Tract 231.08, Bell County, Texas",14748,1078,11294,1072,3454,739
1400000US48027023201,48027023201,"Census Tract 232.01, Bell County, Texas",2383,200,1897,278,486,238
1400000US48027023202,48027023202,"Census Tract 232.02, Bell County, Texas",9117,859,7097,886,2020,502
1400000US48027023203,48027023203,"Census Tract 232.03, Bell County, Texas",2820,364,2190,367,630,373
1400000US48027023204,48027023204,"Census Tract 232.04, Bell County, Texas",4374,785,3598,616,776,333
1400000US48027023300,48027023300,"Census Tract 233, Bell County, Texas",5841,590,5112,564,729,237
1400000US48027023402,48027023402,"Census Tract 234.02, Bell County, Texas",3590,381,2923,347,667,198
1400000US48027023403,48027023403,"Census Tract 234.03, Bell County, Texas",4775,384,4442,395,333,131
1400000US48027023404,48027023404,"Census Tract 234.04, Bell County, Texas",2889,429,2459,405,430,138
1400000US48027023500,48027023500,"Census Tract 235, Bell County, Texas",2510,397,1749,348,761,276
1400000US48027980001,48027980001,"Census Tract 9800.01, Bell County, Texas",701,333,474,249,227,183
1400000US48027980002,48027980002,"Census Tract 9800.02, Bell County, Texas",0,127,0,127,0,127
1400000US48027980003,48027980003,"Census Tract 9800.03, Bell County, Texas",0,127,0,127,0,127
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",2554,354,928,196,1626,294
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",2959,367,701,246,2258,367
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",2227,216,115,87,2112,239
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",10010,1049,1986,335,8024,993
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",1449,270,168,86,1281,263
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1624,450,542,217,1082,348
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",335,129,133,82,202,127
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",1890,357,331,131,1559,325
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",7136,1051,6298,1012,838,167
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7020,40,5729,270,1291,272
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",5784,224,4935,276,849,258
