GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48027021100,48027021100,"Census Tract 211, Bell County, Texas",5636,675,4297,572,1339,479
1400000US48027021201,48027021201,"Census Tract 212.01, Bell County, Texas",3226,547,2731,494,495,195
1400000US48027021202,48027021202,"Census Tract 212.02, Bell County, Texas",4065,606,3281,510,784,264
1400000US48027021203,48027021203,"Census Tract 212.03, Bell County, Texas",4223,451,3705,421,518,187
1400000US48027021301,48027021301,"Census Tract 213.01, Bell County, Texas",5601,554,4751,510,850,320
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",3381,418,3216,413,165,90
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",5996,667,5006,596,990,332
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3743,336,3188,367,555,290
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",5658,623,4311,590,1347,417
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5226,584,2802,411,2424,531
1400000US48027021602,48027021602,"Census Tract 216.02, Bell County, Texas",2437,365,2041,370,396,149
1400000US48027021700,48027021700,"Census Tract 217, Bell County, Texas",8151,596,7273,617,878,302
1400000US48027021800,48027021800,"Census Tract 218, Bell County, Texas",7017,640,5511,661,1506,440
1400000US48027021901,48027021901,"Census Tract 219.01, Bell County, Texas",3401,381,2561,331,840,290
1400000US48027021903,48027021903,"Census Tract 219.03, Bell County, Texas",9067,711,7894,740,1173,582
1400000US48027021904,48027021904,"Census Tract 219.04, Bell County, Texas",8149,886,6076,723,2073,748
1400000US48027022000,48027022000,"Census Tract 220, Bell County, Texas",7977,869,6573,731,1404,393
1400000US48027022101,48027022101,"Census Tract 221.01, Bell County, Texas",4315,580,3484,500,831,303
1400000US48027022103,48027022103,"Census Tract 221.03, Bell County, Texas",5585,516,4636,501,949,223
1400000US48027022104,48027022104,"Census Tract 221.04, Bell County, Texas",4259,566,3422,467,837,364
1400000US48027022105,48027022105,"Census Tract 221.05, Bell County, Texas",1985,331,1473,344,512,265
1400000US48027022200,48027022200,"Census Tract 222, Bell County, Texas",3498,434,2562,416,936,352
1400000US48027022300,48027022300,"Census Tract 223, Bell County, Texas",3715,468,2888,374,827,312
1400000US48027022401,48027022401,"Census Tract 224.01, Bell County, Texas",5672,735,3818,622,1854,624
1400000US48027022402,48027022402,"Census Tract 224.02, Bell County, Texas",3775,523,2750,466,1025,359
1400000US48027022403,48027022403,"Census Tract 224.03, Bell County, Texas",4428,548,3876,580,552,315
1400000US48027022404,48027022404,"Census Tract 224.04, Bell County, Texas",7705,810,5916,781,1789,514
1400000US48027022405,48027022405,"Census Tract 224.05, Bell County, Texas",1848,428,954,265,894,464
1400000US48027022501,48027022501,"Census Tract 225.01, Bell County, Texas",3603,655,2663,480,940,478
1400000US48027022502,48027022502,"Census Tract 225.02, Bell County, Texas",9432,855,7420,788,2012,530
1400000US48027022600,48027022600,"Census Tract 226, Bell County, Texas",4019,667,2548,466,1471,510
1400000US48027022801,48027022801,"Census Tract 228.01, Bell County, Texas",2733,412,2019,320,714,375
1400000US48027022900,48027022900,"Census Tract 229, Bell County, Texas",3477,518,2454,378,1023,386
1400000US48027023000,48027023000,"Census Tract 230, Bell County, Texas",6773,575,5033,510,1740,458
1400000US48027023103,48027023103,"Census Tract 231.03, Bell County, Texas",4516,422,3611,374,905,266
1400000US48027023104,48027023104,"Census Tract 231.04, Bell County, Texas",4308,533,3241,593,1067,439
1400000US48027023105,48027023105,"Census Tract 231.05, Bell County, Texas",7574,903,6411,785,1163,521
1400000US48027023106,48027023106,"Census Tract 231.06, Bell County, Texas",9205,890,6933,1008,2272,648
1400000US48027023107,48027023107,"Census Tract 231.07, Bell County, Texas",7505,918,5547,910,1958,607
